Kabupaten/Kota Tanpa Provinsi,,,,,
,[Seri 2010] Laju Pertumbuhan (y-on-y) Produk Domestik Regional Bruto (PDRB) Triwulanan Menurut Kabupaten/Kota Provinsi Jawa Barat (Persen),,,,
,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Kabupaten Bogor,5.73,5.29,4.51,-,-
Kabupaten Sukabumi,7.58,3.98,5.66,-,-
Kabupaten Cianjur,8.11,3.05,4.74,-,-
Kabupaten Bandung,7.58,5.86,5.9,-,-
Kabupaten Garut,10.88,4.49,3.84,-,-
Kabupaten Tasikmalaya,12.69,2.88,3.61,-,-
Kabupaten Ciamis,6.13,5.35,5.33,-,-
Kabupaten Kuningan,9.76,10.42,9.11,-,-
Kabupaten Cirebon,4.97,7.01,6.16,-,-
Kabupaten Majalengka,8.96,9.01,6.31,-,-
Kabupaten Sumedang,10.25,2.29,4.11,-,-
Kabupaten Indramayu,6.24,1.57,2.74,-,-
Kabupaten Subang,5.48,3.9,4.85,-,-
Kabupaten Purwakarta,5.39,5.83,4.75,-,-
Kabupaten Karawang,-1.99,5.31,6.4,-,-
Kabupaten Bekasi,4.61,5.5,5.16,-,-
Kabupaten Bandung Barat,5.03,5.52,4.91,-,-
Kabupaten Pangandaran,4.57,2.89,9.31,-,-
Kota Bogor,5.32,5.58,5.08,-,-
Kota Sukabumi,5.46,5.4,5,-,-
Kota Bandung,4.84,5.42,5.23,-,-
Kota Cirebon,5.19,5.61,5.26,-,-
Kota Bekasi,4.22,5.75,5.2,-,-
Kota Depok,4.15,5.66,5.46,-,-
Kota Cimahi,4.8,5.27,5.25,-,-
Kota Tasikmalaya,5.79,6.81,4.03,-,-
Kota Banjar,5.94,5.28,3.51,-,-
