Kabupaten/Kota Tanpa Provinsi,,,,,
,[Seri 2010] Laju Pertumbuhan (y-on-y) Produk Domestik Regional Bruto (PDRB) Triwulanan Menurut Kabupaten/Kota Provinsi Jawa Barat (Persen),,,,
,2024,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Kabupaten Bogor,4.96,4.95,4.89,6,5.21
Kabupaten Sukabumi,4.16,5.38,5.15,5.89,5.15
Kabupaten Cianjur,3.48,6.53,6.56,3.79,5.14
Kabupaten Bandung,4.14,4.81,5.25,5.93,5.04
Kabupaten Garut,4,5.96,4.88,4.95,4.95
Kabupaten Tasikmalaya,1.2,3.86,3.75,9.74,4.64
Kabupaten Ciamis,3.08,5.47,5.14,6.17,4.97
Kabupaten Kuningan,6.17,3.46,4.47,8.33,5.61
Kabupaten Cirebon,5.49,5.67,4.98,7.15,5.83
Kabupaten Majalengka,3.66,7.92,5.07,8.9,6.38
Kabupaten Sumedang,-0.54,5.37,4.01,7.24,4.05
Kabupaten Indramayu,-2.3,-2.02,7.72,5.81,2.18
Kabupaten Subang,2.74,6.02,4.98,5.43,4.81
Kabupaten Purwakarta,4.62,4.17,4.5,5.26,4.64
Kabupaten Karawang,8.6,5.2,4.73,-1.34,4.2
Kabupaten Bekasi,5.17,5.65,5.11,4.77,5.17
Kabupaten Bandung Barat,4.51,5.16,4.83,5.24,4.94
Kabupaten Pangandaran,5.06,8.55,3.69,3.25,5.12
Kota Bogor,5.3,4.53,5.47,5.31,5.15
Kota Sukabumi,4.66,5.31,4.96,5.52,5.11
Kota Bandung,4.85,4.97,4.92,5.23,4.99
Kota Cirebon,5.21,4.98,5.18,4.7,5.02
Kota Bekasi,6.94,6.18,5.38,2.43,5.19
Kota Depok,6.48,6.34,5.67,3.48,5.47
Kota Cimahi,6.04,6.43,5.15,3.5,5.26
Kota Tasikmalaya,5.17,4.94,4.74,6,5.22
Kota Banjar,5.6,2.71,4.78,8.7,5.48
